Front	Back	Tags
What disease is the ROGDI case study about?	Kohlschutter-Tonz syndrome, also called amelocerebrohypohidrotic syndrome.	ROGDI nano-rare-GT Core_identity
What is the Orphanet ID for the ROGDI/KTS disease case?	ORPHA:1946.	ROGDI nano-rare-GT Core_identity
What are the two OMIM identifiers used in the ROGDI audit?	OMIM phenotype 226750 and OMIM gene 614574.	ROGDI nano-rare-GT Core_identity
What is the correct gene symbol for the case study?	ROGDI.	ROGDI nano-rare-GT Core_identity
What is the correct UniProt accession for human ROGDI?	Q9GZN7.	ROGDI nano-rare-GT Core_identity
What is the recommended protein name for UniProt Q9GZN7?	Protein rogdi homolog.	ROGDI nano-rare-GT Core_identity
What are three aliases for ROGDI?	KIAA0267, FLJ22386, and RAV2.	ROGDI nano-rare-GT Core_identity
What chromosome location is listed for ROGDI?	16p12.1.	ROGDI nano-rare-GT Core_identity
What is the protein length of ROGDI?	287 amino acids.	ROGDI nano-rare-GT Core_identity
What is the approximate molecular weight of ROGDI?	About 32.3 kDa, or 32,254 Da.	ROGDI nano-rare-GT Core_identity
What is the approximate ROGDI amino-acid coding region length?	About 861 bp, or 864 bp if the stop codon is included by convention.	ROGDI nano-rare-GT Core_identity
Why is source verification the first step before scoring a gene therapy target?	Because a wrong disease, gene, or protein identity poisons every downstream conclusion: cargo size, mechanism, potency assay, vector fit, and risk assessment.	ROGDI nano-rare-GT Source_verification
Which source is used to confirm protein identity and sequence facts?	UniProt. For ROGDI, the key accession is Q9GZN7.	ROGDI nano-rare-GT Source_verification
Which source is used to anchor rare disease identity?	Orphanet. For this case, the disease is ORPHA:1946.	ROGDI nano-rare-GT Source_verification
Which source is used for disease and gene OMIM entries?	OMIM. For ROGDI/KTS, phenotype 226750 and gene 614574 are used.	ROGDI nano-rare-GT Source_verification
What live UniProt facts were checked for Q9GZN7?	Primary accession, protein name, gene name, sequence length, molecular weight, and cross-references such as PDB, AlphaFoldDB, InterPro, and Pfam.	ROGDI nano-rare-GT Source_verification
What is the inheritance pattern of Kohlschutter-Tonz syndrome?	Autosomal recessive.	ROGDI nano-rare-GT Disease_biology
Why does autosomal recessive loss of function support gene addition?	Because adding a working copy of the gene can, in principle, replace missing or reduced function.	ROGDI nano-rare-GT Disease_biology
What are the three classic features of KTS described in the audit?	Amelogenesis imperfecta, infantile or early-onset epilepsy, and intellectual disability or severe neurodevelopmental impairment.	ROGDI nano-rare-GT Disease_biology
Name three additional clinical features reported in KTS.	Spasticity, hypohidrosis or heat intolerance, and nephrocalcinosis in some patients.	ROGDI nano-rare-GT Disease_biology
Why does the audit prioritize CNS rescue?	Because epilepsy and neurodevelopmental impairment likely dominate morbidity and mortality.	ROGDI nano-rare-GT Disease_biology
Why might dental disease be hard to reverse in KTS?	Enamel is formed during a limited developmental window and does not remodel like bone once formed.	ROGDI nano-rare-GT Disease_biology
How should ROGDI be treated functionally for gene therapy planning?	As a non-secreted intracellular scaffold or adaptor protein, not as a simple enzyme replacement target.	ROGDI nano-rare-GT Protein_function
What two PDB structures are linked to human ROGDI?	5XQH and 5XQI.	ROGDI nano-rare-GT Protein_function
What domain or family annotations are listed for ROGDI?	RAVE2/Rogdi, Rogdi_lz, InterPro IPR028241, and Pfam PF10259.	ROGDI nano-rare-GT Protein_function
What 2025 biology connection is important for ROGDI?	ROGDI is connected to Rabconnectin-3-associated V-ATPase biology.	ROGDI nano-rare-GT Protein_function
Why does the Rabconnectin-3/V-ATPase link matter?	It gives a plausible mechanism involving acidic organelles, lysosomes, synaptic vesicles, neurons, and enamel/mineralization biology.	ROGDI nano-rare-GT Protein_function
Is ROGDI secreted?	No. ROGDI is treated as intracellular and non-secreted.	ROGDI nano-rare-GT Localization
Why does non-secreted localization make gene therapy harder?	Because neighboring corrected cells are unlikely to rescue uncorrected cells by secreting the protein. The affected cells probably need direct transduction.	ROGDI nano-rare-GT Localization
What is cell-autonomous rescue?	A therapeutic effect that requires correction inside the affected cell itself.	ROGDI nano-rare-GT Localization
What is cross-correction?	Rescue of neighboring untransduced cells by a secreted therapeutic protein.	ROGDI nano-rare-GT Localization
Why is cross-correction expected to be low for ROGDI?	Because ROGDI is not known to be secreted.	ROGDI nano-rare-GT Localization
Name three reported or annotated ROGDI localization contexts.	Nuclear envelope, axon/dendrite/perikaryon, presynapse, synaptic vesicle context, or acidic organelle context.	ROGDI nano-rare-GT Localization
What is the highest-priority therapeutic tissue for the first ROGDI program?	CNS neurons.	ROGDI nano-rare-GT Target_tissues
Which tooth-development cell type matters for KTS dental disease?	Ameloblasts, the cells responsible for enamel formation.	ROGDI nano-rare-GT Target_tissues
Why is there a brain/teeth delivery mismatch?	A CNS-directed route is not expected to robustly correct ameloblasts, and dental-directed delivery will not rescue CNS neurons.	ROGDI nano-rare-GT Target_tissues
What is AAV?	Adeno-associated virus, a small non-replicating viral vector commonly used for in vivo gene delivery.	ROGDI nano-rare-GT AAV_and_cargo
What practical AAV packaging limit is used in the audit?	About 4.7 kb.	ROGDI nano-rare-GT AAV_and_cargo
Why does ROGDI pass the AAV cargo-size gate?	Its coding sequence is about 861 bp, leaving large room for promoter, polyA, ITRs, and other regulatory elements within the AAV limit.	ROGDI nano-rare-GT AAV_and_cargo
What first-pass vector is recommended for the ROGDI CNS proof of concept?	AAV9.	ROGDI nano-rare-GT AAV_and_cargo
Why is AAV9 considered relevant to ROGDI?	It has clinical precedent for nervous-system exposure, especially early-life CNS-directed gene replacement.	ROGDI nano-rare-GT AAV_and_cargo
Does AAV9 precedent prove ROGDI efficacy?	No. It only supports platform feasibility. ROGDI-specific success still requires direct neuronal transduction, correct localization, and valid potency assays.	ROGDI nano-rare-GT AAV_and_cargo
