orphanet_id,disease_name,gene,mechanism_category,mechanism_detail,gene_addition_compatibility,preferred_modality,evidence_level,evidence_summary,evidence_url,evidence_citation,evidence_status
ORPHA:306,Hemophilia B,F9,loss_of_function,Factor IX deficiency from pathogenic F9 variants,compatible,gene_addition_or_factor_expression,direct,Deficiency of coagulation factor IX is the therapeutic deficit; liver-directed F9 expression is an approved gene-addition precedent,https://omim.org/entry/306900,OMIM Hemophilia B 306900,source_linked_needs_review
ORPHA:65,Leber congenital amaurosis,RPE65,loss_of_function,RPE65 retinoid-cycle enzyme deficiency,compatible,gene_addition,direct,Biallelic RPE65 disease is treated by supplying functional RPE65 to retinal pigment epithelium,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/luxturna,FDA Luxturna product information,source_linked_needs_review
ORPHA:277,Severe combined immunodeficiency due to adenosine deaminase deficiency,ADA,loss_of_function,ADA enzyme deficiency causing toxic purine metabolite accumulation,compatible,ex_vivo_hsc_gene_addition,direct,ADA-SCID is a deficiency disorder with approved ex vivo gene-addition precedent,https://omim.org/entry/102700,OMIM ADA-SCID 102700,source_linked_needs_review
ORPHA:70,Spinal Muscular Atrophy,SMN1,loss_of_function,SMN protein deficiency from biallelic SMN1 mutation,compatible,gene_addition,direct,FDA Zolgensma indication is SMA with biallelic SMN1 mutations; product supplies functional SMN transgene,https://www.fda.gov/vaccines-blood-biologics/zolgensma,FDA Zolgensma product page,source_linked_needs_review
ORPHA:98896,Duchenne muscular dystrophy,DMD,loss_of_function_oversized,Dystrophin loss with native DMD too large for single AAV,conditional,engineered_microgene_or_dual_vector,direct,DMD supports replacement logic but requires micro-dystrophin or other engineered strategies because full-length DMD exceeds AAV capacity,https://pubmed.ncbi.nlm.nih.gov/36990339/,Chamberlain et al. 2023 microdystrophin review,source_linked_needs_review
ORPHA:104,Leber hereditary optic neuropathy,MT-ND4,mitochondrial_loss_of_function,Mitochondrial complex I dysfunction from MT-ND4 variant,uncertain,specialized_allotopic_expression_or_mitochondrial_strategy,direct,Mitochondrial DNA disease is not ordinary nuclear gene addition; allotopic AAV approaches are specialized and disease-specific,https://omim.org/entry/516003,OMIM MT-ND4 gene entry,needs_manual_review
ORPHA:49382,Achromatopsia,CNGB3,loss_of_function,Cone cyclic nucleotide-gated channel beta-subunit loss,compatible,retinal_gene_addition,direct,Biallelic CNGB3 loss is compatible with photoreceptor-directed gene addition if target cells remain viable,https://omim.org/entry/605080,OMIM CNGB3 gene entry,source_linked_needs_review
ORPHA:61,Alpha-mannosidosis,MAN2B1,loss_of_function,Lysosomal alpha-mannosidase enzyme deficiency,compatible,gene_addition_or_cross_correction,direct,Lysosomal enzyme deficiency supports gene addition and possible cross-correction logic,https://omim.org/entry/609458,OMIM MAN2B1 gene entry,source_linked_needs_review
ORPHA:180,Choroideremia,CHM,loss_of_function,REP1 deficiency affecting retinal cells,compatible,retinal_gene_addition,direct,CHM loss of function is a retinal gene-addition target if viable retina remains,https://omim.org/entry/300390,OMIM CHM gene entry,source_linked_needs_review
ORPHA:1060,Crigler-Najjar syndrome type I,UGT1A1,loss_of_function,Absent or severe deficiency of bilirubin UDP-glucuronosyltransferase,compatible,liver_gene_addition,direct,UGT1A1 deficiency supports hepatocyte-directed gene addition,https://omim.org/entry/191740,OMIM UGT1A1 gene entry,source_linked_needs_review
ORPHA:324,Fabry disease,GLA,loss_of_function,Alpha-galactosidase A lysosomal enzyme deficiency,compatible,gene_addition_or_cross_correction,direct,Fabry is caused by deficient GLA enzyme activity; secreted enzyme strategies can support systemic cross-correction,https://omim.org/entry/300644,OMIM GLA gene entry,source_linked_needs_review
ORPHA:355,Gaucher disease,GBA,loss_of_function,Beta-glucocerebrosidase lysosomal enzyme deficiency,conditional,gene_addition_or_cross_correction,direct,GBA deficiency supports replacement logic but neuronopathic disease and tissue access can limit simple systemic correction,https://omim.org/entry/606463,OMIM GBA gene entry,source_linked_needs_review
ORPHA:79258,Glycogen storage disease type Ia,G6PC,loss_of_function,Glucose-6-phosphatase catalytic subunit deficiency,compatible,liver_kidney_gene_addition,direct,G6PC deficiency is a metabolic enzyme loss where liver-directed expression is a plausible gene-addition strategy,https://omim.org/entry/613742,OMIM G6PC gene entry,source_linked_needs_review
ORPHA:1946,Kohlschutter-Tonz syndrome,ROGDI,loss_of_function,ROGDI loss of function from recessive truncating splice or destabilizing variants,conditional,cns_gene_addition_with_cell_autonomous_rescue,direct,Published KTS variants in ROGDI are consistent with loss of function; gene addition is plausible but ROGDI is intracellular and disease biology is not fully resolved,https://pubmed.ncbi.nlm.nih.gov/22482807/,Schossig et al. 2012 Mutations in ROGDI Cause Kohlschutter-Tonz Syndrome,source_checked
ORPHA:487,Krabbe disease,GALC,loss_of_function,Galactocerebrosidase lysosomal enzyme deficiency,conditional,gene_addition_or_hsc_cross_correction,direct,GALC deficiency supports replacement logic but CNS delivery and toxic metabolite biology require disease-specific validation,https://omim.org/entry/606890,OMIM GALC gene entry,source_linked_needs_review
