orphanet_id,disease_name,gene,inheritance,primary_tissues,prevalence,omim_ids,cohort_role,manual_fact_check_status,source_url,notes
ORPHA:306,Hemophilia B,F9,X-linked recessive,liver,1-5/100000,306900,positive_control,needs_user_fact_check,https://www.orpha.net/en/disease/detail/306,approved AAV5 liver precedent; positive control
ORPHA:65,Leber congenital amaurosis,RPE65,Autosomal recessive,retina,1-9/100000,204000,benchmark_with_known_gt_precedent,needs_user_fact_check,https://www.orpha.net/en/disease/detail/65,approved AAV2 retinal precedent; positive control
ORPHA:277,Severe combined immunodeficiency due to adenosine deaminase deficiency,ADA,Autosomal recessive,hematopoietic,1-9/1000000,102700,benchmark_with_known_gt_precedent,needs_user_fact_check,https://www.orpha.net/en/disease/detail/277,approved ex vivo/lentiviral HSC precedent; positive control
ORPHA:70,Spinal Muscular Atrophy,SMN1,Autosomal recessive,CNS; muscle,1-5/10000,253300,positive_control,needs_user_fact_check,https://www.orpha.net/en/disease/detail/70,approved AAV9 precedent; positive control
ORPHA:98896,Duchenne muscular dystrophy,DMD,X-linked recessive,muscle; heart,1-5/10000,310200,oversized_cargo_stress_test,needs_user_fact_check,https://www.orpha.net/en/disease/detail/98896,oversized native gene; micro-dystrophin precedent tests cargo-limit handling
ORPHA:104,Leber hereditary optic neuropathy,MT-ND4,Mitochondrial inheritance,retina; CNS,1-9/100000,535000,mitochondrial_stress_test,needs_user_fact_check,https://www.orpha.net/en/disease/detail/104,mitochondrial gene delivery stress test
ORPHA:49382,Achromatopsia,CNGB3,Autosomal recessive,retina,1-9/100000,262300,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/49382,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:61,Alpha-mannosidosis,MAN2B1,Autosomal recessive,CNS; liver,1-9/1000000,248500,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/61,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:180,Choroideremia,CHM,X-linked recessive,retina,1-9/100000,303100,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/180,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
ORPHA:1060,Crigler-Najjar syndrome type I,UGT1A1,Autosomal recessive,liver,<1/1000000,218800,pilot_cohort,needs_user_fact_check,https://www.orpha.net/en/disease/detail/1060,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort
